Model,Context Length,With Message,Accuracy,F1,Precision,Recall,Inference Time
gpt-4.1-2025-04-14,1024,No,0.55,0.8,0.81,0.81,0.8940364962532407
gpt-4.1-2025-04-14,1024,Yes,0.64,0.84,0.85,0.85,0.9758846248899188
gpt-4.1-2025-04-14,2048,No,0.6,0.83,0.83,0.86,0.9354575032279605
gpt-4.1-2025-04-14,2048,Yes,0.65,0.85,0.85,0.86,0.9898327066784813
gpt-4.1-2025-04-14,4096,No,0.6,0.83,0.82,0.86,0.8653225739796956
gpt-4.1-2025-04-14,4096,Yes,0.65,0.85,0.85,0.87,0.9365340664273216
gpt-4.1-2025-04-14,8192,No,0.58,0.83,0.81,0.86,0.8716817027046567
gpt-4.1-2025-04-14,8192,Yes,0.63,0.85,0.84,0.87,0.8917030788603283
gpt-4.1-2025-04-14,12288,No,0.58,0.83,0.82,0.85,0.9409626438504174
gpt-4.1-2025-04-14,12288,Yes,0.63,0.85,0.85,0.87,0.9924219449361166
gpt-4.1-2025-04-14_ONE_SHOT,1024,No,0.53,0.78,0.79,0.79,1.0076380911327543
gpt-4.1-2025-04-14_ONE_SHOT,1024,Yes,0.61,0.83,0.84,0.83,1.1096408276330858
gpt-4.1-2025-04-14_ONE_SHOT,2048,No,0.58,0.81,0.81,0.83,1.0769710597537814
gpt-4.1-2025-04-14_ONE_SHOT,2048,Yes,0.64,0.84,0.84,0.85,1.1153393109639487
gpt-4.1-2025-04-14_ONE_SHOT,4096,No,0.56,0.8,0.8,0.82,1.0415978318169004
gpt-4.1-2025-04-14_ONE_SHOT,4096,Yes,0.61,0.83,0.83,0.84,0.9817831152961367
gpt-4.1-2025-04-14_ONE_SHOT,8192,No,0.55,0.81,0.8,0.83,1.1745678492954799
gpt-4.1-2025-04-14_ONE_SHOT,8192,Yes,0.61,0.83,0.83,0.84,1.1157477696736653
gpt-4.1-2025-04-14_ONE_SHOT,12288,No,0.56,0.81,0.81,0.82,1.0345515727996826
gpt-4.1-2025-04-14_ONE_SHOT,12288,Yes,0.62,0.83,0.83,0.85,1.0583474760963802
gpt-4.1-2025-04-14_TWO_SHOT,1024,No,0.56,0.79,0.8,0.79,1.1110769056138539
gpt-4.1-2025-04-14_TWO_SHOT,1024,Yes,0.57,0.8,0.81,0.8,1.10499522231874
gpt-4.1-2025-04-14_TWO_SHOT,2048,No,0.56,0.81,0.8,0.82,1.2119853394372122
gpt-4.1-2025-04-14_TWO_SHOT,2048,Yes,0.62,0.83,0.83,0.84,1.0956843796230498
gpt-4.1-2025-04-14_TWO_SHOT,4096,No,0.57,0.8,0.8,0.82,1.1605968872706096
gpt-4.1-2025-04-14_TWO_SHOT,4096,Yes,0.61,0.82,0.82,0.84,1.0748488335382371
gpt-4.1-2025-04-14_TWO_SHOT,8192,No,0.57,0.81,0.8,0.82,1.2030341716039747
gpt-4.1-2025-04-14_TWO_SHOT,8192,Yes,0.6,0.83,0.83,0.84,1.1443645477294921
gpt-4.1-2025-04-14_TWO_SHOT,12288,No,0.56,0.81,0.81,0.82,1.2082594224384853
gpt-4.1-2025-04-14_TWO_SHOT,12288,Yes,0.61,0.84,0.84,0.85,1.209833540235247
microsoft_phi-4,1024,No,0.2,0.61,0.64,0.63,4.4005780674162365
microsoft_phi-4,1024,Yes,0.25,0.65,0.65,0.68,4.27382284005483
microsoft_phi-4,2048,No,0.18,0.6,0.64,0.61,6.07688409600939
microsoft_phi-4,2048,Yes,0.22,0.63,0.63,0.66,5.926854431061518
microsoft_phi-4,4096,No,0.18,0.59,0.62,0.61,7.763223386946178
microsoft_phi-4,4096,Yes,0.22,0.63,0.63,0.68,7.541018898146493
microsoft_phi-4,8192,No,0.18,0.6,0.64,0.62,9.457448015894208
microsoft_phi-4,8192,Yes,0.22,0.63,0.63,0.68,9.245580870764597
microsoft_phi-4,12288,No,0.18,0.6,0.63,0.61,10.23809560480572
microsoft_phi-4,12288,Yes,0.22,0.63,0.64,0.67,10.441944788751147
qwen_qwen3-14b_One_shot,1024,No,0.3,0.62,0.63,0.64,4.413984294164749
qwen_qwen3-14b_One_shot,1024,Yes,0.32,0.68,0.67,0.72,4.717810605821155
qwen_qwen3-14b_One_shot,2048,No,0.28,0.62,0.63,0.63,5.415026550065903
qwen_qwen3-14b_One_shot,2048,Yes,0.31,0.67,0.66,0.7,6.205498940604073
qwen_qwen3-14b_One_shot,4096,No,0.28,0.62,0.63,0.63,6.825989928699675
qwen_qwen3-14b_One_shot,4096,Yes,0.33,0.68,0.67,0.72,7.787512522652036
qwen_qwen3-14b_One_shot,8192,No,0.27,0.62,0.63,0.64,8.225986932572864
qwen_qwen3-14b_One_shot,8192,Yes,0.32,0.67,0.66,0.72,9.418571693556649
qwen_qwen3-14b_One_shot,12288,No,0.26,0.61,0.62,0.63,8.965177202224732
qwen_qwen3-14b_One_shot,12288,Yes,0.31,0.67,0.66,0.72,10.186639315741402
qwen_qwen3-14b_Two_shot,1024,No,0.28,0.62,0.64,0.62,4.151013685408093
qwen_qwen3-14b_Two_shot,1024,Yes,0.33,0.68,0.68,0.71,4.841317196119399
qwen_qwen3-14b_Two_shot,2048,No,0.26,0.61,0.63,0.61,5.609796620550609
qwen_qwen3-14b_Two_shot,2048,Yes,0.3,0.67,0.67,0.7,6.4007288353783744
qwen_qwen3-14b_Two_shot,4096,No,0.28,0.61,0.63,0.61,7.11571912084307
qwen_qwen3-14b_Two_shot,4096,Yes,0.3,0.66,0.67,0.7,8.048603183882577
qwen_qwen3-14b_Two_shot,8192,Yes,0.29,0.66,0.66,0.7,9.757940808931986
qwen_qwen3-14b_Two_shot,12288,Yes,0.29,0.67,0.66,0.7,9.999047321364992
qwen_qwen3-14b_Zero_shot,1024,No,0.31,0.64,0.64,0.68,4.2815589439301265
qwen_qwen3-14b_Zero_shot,1024,Yes,0.38,0.7,0.69,0.74,4.087434736887614
qwen_qwen3-14b_Zero_shot,2048,No,0.34,0.65,0.65,0.68,5.5963221493221464
qwen_qwen3-14b_Zero_shot,2048,Yes,0.34,0.68,0.66,0.73,5.388637366748991
qwen_qwen3-14b_Zero_shot,4096,No,0.32,0.65,0.65,0.67,7.056304103987557
qwen_qwen3-14b_Zero_shot,4096,Yes,0.34,0.68,0.67,0.72,6.750663642656235
qwen_qwen3-14b_Zero_shot,8192,No,0.32,0.65,0.66,0.68,8.757810051100595
qwen_qwen3-14b_Zero_shot,8192,Yes,0.34,0.69,0.68,0.73,8.156681997435433
qwen_qwen3-14b_Zero_shot,12288,No,0.31,0.65,0.65,0.67,9.217025105158488
qwen_qwen3-14b_Zero_shot,12288,Yes,0.33,0.68,0.67,0.72,9.605628635769799
